Experiment ID,Name,Config,MSE,SNR (dB),Cosine Sim,Model Size (MB),Latency (ms)
C0,Baseline,fp32-None-0,1.1737690316232508e-11,116.31678733825683,1.000000006556511,13.426849365234375,5.378437042236328
C1,Weight-Only,weight_only-None-0,0.018375462107360362,24.334368743896484,0.9983202260732651,3.7366104125976562,5.345587730407715
C2,Dynamic,dynamic-None-0,0.020399114470928906,23.902909774780273,0.9981404560804367,3.7076873779296875,10.842163562774658
C3-A,Static-Random-100,static-random-100,0.024665728844702244,23.099000873565675,0.9979470270872116,3.91766357421875,6.7321038246154785
C3-B,Static-Real-10,static-random-10,0.024978850726038216,23.052463932037355,0.9978565204143525,3.91766357421875,6.741044521331787
C3-C,Static-Real-100,static-random-100,0.026600422840565442,22.772687721252442,0.9976181447505951,3.91766357421875,6.6802263259887695
C3-D,Static-Real-500,static-random-500,0.0275589120388031,22.608078517913818,0.9975716960430145,3.91766357421875,6.747596263885498
C4,Full-Integer,full_int-random-100,0.0265492576174438,22.772105541229248,0.9974678283929825,3.91766357421875,6.7310309410095215
C5,Per-Tensor,per_tensor-random-100,0.1415416704118252,15.502782154083253,0.9899606740474701,3.5054397583007812,6.690890789031982
